index,Body,Topic
0," 0.033*""compon"" + 0.018*""react"" + 0.017*""angular"" + 0.013*""render"" + 0.011*""rout"" + 0.011*""templat"" + 0.011*""child"" + 0.010*""html"" + 0.010*""parent"" + 0.008*""modul"" + 0.007*""page"" + 0.007*""error"" + 0.007*""webpack"" + 0.007*""nativ"" + 0.007*""import""",Angular Routing
1," 0.032*""datafram"" + 0.024*""group"" + 0.019*""word"" + 0.018*""year"" + 0.016*""datat"" + 0.016*""filter"" + 0.015*""panda"" + 0.015*""split"" + 0.014*""month"" + 0.014*""price"" + 0.013*""column"" + 0.012*""employe"" + 0.012*""averag"" + 0.011*""extract"" + 0.010*""week""",Python Pandas
2," 0.018*""user"" + 0.013*""email"" + 0.013*""login"" + 0.012*""page"" + 0.011*""send"" + 0.010*""request"" + 0.010*""password"" + 0.010*""redirect"" + 0.009*""token"" + 0.009*""ajax"" + 0.008*""post"" + 0.008*""authent"" + 0.008*""server"" + 0.007*""django"" + 0.007*""websit""",Security/Authentication
3," 0.023*""button"" + 0.017*""click"" + 0.015*""form"" + 0.014*""page"" + 0.012*""view"" + 0.012*""select"" + 0.010*""control"" + 0.009*""event"" + 0.009*""html"" + 0.009*""code"" + 0.008*""item"" + 0.008*""valu"" + 0.008*""user"" + 0.008*""jqueri"" + 0.007*""work""",Website Development
4," 0.017*""android"" + 0.011*""studio"" + 0.010*""devic"" + 0.009*""error"" + 0.008*""notif"" + 0.008*""activ"" + 0.007*""applic"" + 0.007*""visual"" + 0.007*""work"" + 0.007*""crash"" + 0.007*""project"" + 0.007*""fragment"" + 0.007*""version"" + 0.006*""code"" + 0.006*""window""",Android
5," 0.039*""tabl"" + 0.029*""queri"" + 0.026*""column"" + 0.020*""date"" + 0.015*""data"" + 0.015*""databas"" + 0.014*""record"" + 0.013*""valu"" + 0.012*""row"" + 0.012*""insert"" + 0.011*""field"" + 0.011*""result"" + 0.010*""mysql"" + 0.009*""want"" + 0.008*""like""",SQL/Databse
6," 0.030*""file"" + 0.019*""instal"" + 0.016*""folder"" + 0.015*""error"" + 0.015*""command"" + 0.013*""script"" + 0.012*""project"" + 0.012*""directori"" + 0.011*""python"" + 0.011*""packag"" + 0.010*""path"" + 0.009*""docker"" + 0.009*""version"" + 0.009*""build"" + 0.008*""run""",Instalation
7," 0.019*""video"" + 0.016*""imag"" + 0.013*""firebas"" + 0.013*""upload"" + 0.009*""play"" + 0.009*""file"" + 0.008*""stream"" + 0.007*""audio"" + 0.007*""camera"" + 0.007*""storag"" + 0.006*""photo"" + 0.006*""border"" + 0.006*""swift"" + 0.006*""resiz"" + 0.006*""keyboard""",IOS
8," 0.026*""array"" + 0.023*""string"" + 0.017*""output"" + 0.016*""valu"" + 0.015*""list"" + 0.012*""print"" + 0.012*""number"" + 0.012*""loop"" + 0.012*""charact"" + 0.011*""like"" + 0.011*""code"" + 0.010*""line"" + 0.010*""want"" + 0.010*""input"" + 0.010*""element""",Variable Operations
9," 0.013*""sheet"" + 0.011*""data"" + 0.010*""valu"" + 0.009*""column"" + 0.009*""frame"" + 0.008*""train"" + 0.008*""integ"" + 0.008*""dictionari"" + 0.008*""dataset"" + 0.008*""number"" + 0.007*""rang"" + 0.006*""like"" + 0.006*""code"" + 0.006*""float"" + 0.006*""time""",Machine Learning
