index,Body,Topic
0, 0.042*"file" + 0.022*"folder" + 0.020*"upload" + 0.015*"directori" + 0.015*"download" + 0.012*"path" + 0.011*"imag" + 0.010*"packag" + 0.009*"slide" + 0.009*"extens" + 0.009*"visual" + 0.009*"studio" + 0.008*"project" + 0.008*"socket" + 0.008*"server",IDE/Visual Studios
1, 0.021*"user" + 0.018*"facebook" + 0.018*"login" + 0.014*"password" + 0.013*"session" + 0.013*"redirect" + 0.012*"page" + 0.011*"rout" + 0.009*"authent" + 0.009*"log" + 0.008*"usernam" + 0.007*"post" + 0.007*"googl" + 0.007*"site" + 0.007*"account",Security/Authentication
2, 0.023*"array" + 0.014*"valu" + 0.013*"function" + 0.011*"loop" + 0.010*"variabl" + 0.010*"code" + 0.009*"list" + 0.008*"return" + 0.008*"output" + 0.008*"like" + 0.008*"print" + 0.007*"element" + 0.007*"object" + 0.007*"string" + 0.007*"follow",Variable Operations
3, 0.026*"class" + 0.015*"method" + 0.015*"object" + 0.010*"properti" + 0.009*"type" + 0.008*"function" + 0.007*"code" + 0.007*"constructor" + 0.007*"instanc" + 0.007*"like" + 0.007*"test" + 0.006*"creat" + 0.006*"defin" + 0.006*"error" + 0.006*"call",OOD/OOP
4, 0.021*"string" + 0.019*"charact" + 0.014*"line" + 0.014*"text" + 0.013*"file" + 0.012*"word" + 0.011*"regex" + 0.011*"replac" + 0.011*"match" + 0.009*"output" + 0.008*"tag" + 0.008*"space" + 0.008*"extract" + 0.008*"number" + 0.008*"encod",Regular Expresions
5, 0.020*"server" + 0.016*"servic" + 0.014*"send" + 0.014*"client" + 0.013*"connect" + 0.013*"email" + 0.012*"request" + 0.008*"applic" + 0.008*"domain" + 0.007*"messag" + 0.007*"respons" + 0.007*"address" + 0.007*"mail" + 0.007*"error" + 0.006*"user",Client/Server Services
6, 0.029*"categori" + 0.027*"chart" + 0.022*"filter" + 0.021*"textbox" + 0.020*"phonegap" + 0.019*"textview" + 0.018*"border" + 0.016*"thumbnail" + 0.016*"combobox" + 0.015*"person" + 0.014*"anchor" + 0.013*"viewmodel" + 0.013*"fee" + 0.012*"sprite" + 0.012*"grail",PhoneGap
7, 0.027*"page" + 0.024*"form" + 0.017*"jqueri" + 0.016*"html" + 0.015*"ajax" + 0.013*"javascript" + 0.013*"submit" + 0.012*"load" + 0.011*"code" + 0.010*"valid" + 0.010*"work" + 0.010*"button" + 0.009*"click" + 0.009*"function" + 0.009*"field",Website Development
8, 0.017*"model" + 0.012*"entiti" + 0.012*"product" + 0.010*"join" + 0.008*"collect" + 0.008*"hover" + 0.008*"tabl" + 0.007*"hibern" + 0.007*"django" + 0.007*"contact" + 0.007*"relationship" + 0.006*"float" + 0.006*"schema" + 0.006*"oracl" + 0.006*"price",Asp.Net
9, 0.037*"imag" + 0.018*"view" + 0.018*"scroll" + 0.014*"anim" + 0.011*"layout" + 0.011*"screen" + 0.010*"cell" + 0.010*"icon" + 0.010*"listview" + 0.009*"size" + 0.009*"draw" + 0.009*"width" + 0.008*"button" + 0.008*"pictur" + 0.008*"height",Image/Display
