index,Body,Topic
0, 0.006*"button" + 0.005*"process" + 0.005*"press" + 0.005*"tabl" + 0.005*"delet" + 0.005*"caus" + 0.005*"file" + 0.005*"live" + 0.005*"enter" + 0.004*"lock" + 0.004*"databas" + 0.004*"manag" + 0.004*"doc" + 0.004*"dream" + 0.004*"fall",Replace Topic Name
1, 0.008*"process" + 0.007*"size" + 0.006*"combo" + 0.006*"control" + 0.005*"comment" + 0.005*"rdoc" + 0.005*"row" + 0.005*"correct" + 0.005*"joel" + 0.005*"work" + 0.004*"youtub" + 0.004*"annot" + 0.004*"know" + 0.004*"differ" + 0.004*"sandcastl",Replace Topic Name
2, 0.008*"leak" + 0.007*"equat" + 0.005*"databas" + 0.005*"determin" + 0.005*"want" + 0.005*"develop" + 0.005*"string" + 0.005*"collect" + 0.005*"order" + 0.005*"setter" + 0.005*"getter" + 0.005*"timezon" + 0.005*"user" + 0.005*"rememb" + 0.004*"memori",Replace Topic Name
3, 0.009*"virtual" + 0.008*"host" + 0.007*"play" + 0.006*"separ" + 0.005*"track" + 0.005*"cruisecontrol" + 0.005*"msbuild" + 0.004*"player" + 0.004*"download" + 0.004*"nice" + 0.004*"document" + 0.003*"file" + 0.003*"overrid" + 0.003*"javascript" + 0.003*"flash",Replace Topic Name
4, 0.006*"font" + 0.006*"year" + 0.006*"function" + 0.006*"queri" + 0.006*"subvers" + 0.006*"gener" + 0.005*"consum" + 0.005*"save" + 0.005*"answer" + 0.005*"give" + 0.005*"chang" + 0.005*"valu" + 0.005*"repres" + 0.005*"calcul" + 0.005*"birthday",Replace Topic Name
5, 0.009*"instanc" + 0.008*"type" + 0.006*"hour" + 0.006*"day" + 0.006*"object" + 0.006*"month" + 0.005*"head" + 0.005*"rel" + 0.005*"convert" + 0.005*"time" + 0.005*"tag" + 0.004*"file" + 0.004*"java" + 0.004*"display" + 0.004*"librari",Replace Topic Name
6, 0.010*"catch" + 0.009*"timer" + 0.008*"index" + 0.007*"forc" + 0.007*"actionscript" + 0.006*"branch" + 0.006*"unload" + 0.006*"merg" + 0.006*"thread" + 0.005*"tortoisesvn" + 0.005*"apach" + 0.005*"trust" + 0.005*"medium" + 0.005*"memori" + 0.004*"subvers",Replace Topic Name
7, 0.008*"font" + 0.007*"format" + 0.006*"paramet" + 0.006*"linq" + 0.005*"distinguish" + 0.005*"proc" + 0.005*"lambda" + 0.005*"basic" + 0.005*"iso_" + 0.005*"countri" + 0.005*"retriev" + 0.005*"color" + 0.005*"pseudo" + 0.005*"asmx" + 0.004*"address",Replace Topic Name
8, 0.008*"debug" + 0.007*"class" + 0.007*"enclos" + 0.007*"mysql" + 0.007*"binari" + 0.006*"bit" + 0.006*"store" + 0.005*"safari" + 0.005*"record" + 0.005*"edit" + 0.005*"tag" + 0.005*"random" + 0.005*"data" + 0.004*"nest" + 0.004*"scenario",Replace Topic Name
9, 0.008*"data" + 0.007*"regex" + 0.006*"plugin" + 0.005*"unsign" + 0.005*"wonder" + 0.005*"start" + 0.005*"interfac" + 0.005*"requir" + 0.005*"write" + 0.005*"webdav" + 0.005*"easi" + 0.004*"attach" + 0.004*"implement" + 0.004*"time" + 0.004*"decim",Replace Topic Name
