Id,AcceptedAnswerId,AnswerCount,Body,ClosedDate,CommentCount,CommunityOwnedDate,CreationDate,FavoriteCount,LastActivityDate,LastEditDate,LastEditorDisplayName,LastEditorUserId,OwnerUserId,ParentId,PostTypeId,Score,Tags,Title,ViewCount,Master Post
38056,38230,9,"<p>The only <em>nice</em> way I've found is:</p>  <pre><code>import sys import os  try:         os.kill(int(sys.argv[1]), 0)         print ""Running"" except:         print ""Not running"" </code></pre>  <p>(<a href=""http://www.unix.com/unix-advanced-expert-users/79267-trick-bash-scripters-check-if-process-running.html"" rel=""noreferrer"">Source</a>)<br> But is this reliable? Does it work with every process and every distribution?</p> ",2013-08-16 05:56:18.197,1,NULL,2008-09-01 15:20:52.277,13,2016-05-09 06:11:10.430,2016-05-09 06:11:10.430,NULL,116,1531,0,1,33,<python><linux><unix><process>,How do you check in Linux with Python if a process is still running?,78065,568271
41424,41448,17,"<blockquote>   <p><strong>Possible Duplicate:</strong><br>   <a href=""https://stackoverflow.com/questions/307291/how-does-the-google-did-you-mean-algorithm-work"">How does the Google “Did you mean?” Algorithm work?</a>  </p> </blockquote>    <p>Suppose you have a search system already in your website. How can you implement the ""Did you mean:<code>&lt;spell_checked_word&gt;</code>"" like Google does in some <a href=""http://www.google.com/search?hl=en&amp;q=spellling&amp;btnG=Search"" rel=""noreferrer"">search queries</a>?</p> ",2013-01-08 07:56:58.900,2,NULL,2008-09-03 10:36:13.270,80,2012-11-19 05:57:06.303,2017-05-23 12:09:52.140,NULL,-1,2644,0,1,106,<nlp>,"How do you implement a ""Did you mean""?",22246,307291
42558,0,0,"<blockquote>   <p><strong>Possible Duplicate:</strong><br>   <a href=""https://stackoverflow.com/questions/31875/is-there-a-simple-elegant-way-to-define-singletons-in-python"">Is there a simple, elegant way to define Singletons in Python?</a>  </p> </blockquote>    <p>What is the best way to implement the singleton pattern in Python?  It seems impossible to declare the constructor private or protected as is normally done with the Singleton pattern...</p> ",2011-09-12 00:13:12.087,0,NULL,2008-09-03 20:53:19.153,0,2012-05-14 13:57:24.283,2017-05-23 12:13:15.047,NULL,-1,4316,0,1,92,<python><design-patterns><singleton>,Python and the Singleton Pattern,124111,31875
45004,45008,10,"<p>Is there a way to select a parent element based on the class of a child element in the class?  The example that is relevant to me relating to HTML output by a nice menu plugin for <a href=""http://drupal.org"" rel=""noreferrer"">http://drupal.org</a>.  The output renders like this:  </p>  <pre><code>&lt;ul class=""menu""&gt;       &lt;li&gt;           &lt;a class=""active""&gt;Active Page&lt;/a&gt;       &lt;/li&gt;       &lt;li&gt;             &lt;a&gt;Some Other Page&lt;/a&gt;       &lt;/li&gt;   &lt;/ul&gt;   </code></pre>  <p>My question is whether or not it is possible to apply a style to the list item that contains the anchor with the active class on it.  Obviously, I'd prefer that the list item be marked as active, but I don't have control of the code that gets produced.  I could perform this sort of thing using javascript (JQuery springs to mind), but I was wondering if there is a way to do this using CSS selectors.</p>  <p>Just to be clear, I want to apply a style to the list item, not the anchor.</p> ",2013-05-02 15:16:58.390,5,NULL,2008-09-05 00:01:36.243,45,2017-09-26 01:19:47.140,2011-02-06 21:08:29.567,NULL,106224,4640,0,1,279,<css><css-selectors>,Complex CSS selector for parent of active child,248600,1014861
47487,47508,13,"<blockquote>   <p><strong>Possible Duplicate:</strong><br>   <a href=""https://stackoverflow.com/questions/30170/avoiding-repeated-constants-in-css"">Avoiding repeated constants in CSS</a>  </p> </blockquote>    <p>We have some ""theme colors"" that are reused in our CSS sheet.</p>  <p>Is there a way to set a variable and then reuse it?</p>  <p>E.g.</p>  <pre><code>.css OurColor: Blue  H1 {   color:OurColor; } </code></pre> ",2013-01-27 04:12:29.017,3,NULL,2008-09-06 14:21:25.293,21,2016-01-16 20:19:21.953,2017-05-23 12:01:59.053,NULL,-1,4906,0,1,51,<css><variables>,Create a variable in .CSS file for use within that .CSS file,33284,30170
49146,49155,7,"<p>I've used several modules to make EXEs for Python, but I'm not sure if I'm doing it right.</p>  <p>How should I go about this, and why?  Please base your answers on personal experience, and provide references where necessary.</p> ",2013-04-16 22:02:10.147,3,NULL,2008-09-08 03:59:57.937,41,2017-09-05 18:18:02.900,2014-06-23 13:55:04.493,user3413108,0,4491,0,1,89,<python><exe><executable>,How can I make an EXE file from a Python program?,189203,2933
49146,49155,7,"<p>I've used several modules to make EXEs for Python, but I'm not sure if I'm doing it right.</p>  <p>How should I go about this, and why?  Please base your answers on personal experience, and provide references where necessary.</p> ",2013-04-16 22:02:10.147,3,NULL,2008-09-08 03:59:57.937,41,2017-09-05 18:18:02.900,2014-06-23 13:55:04.493,user3413108,0,4491,0,1,89,<python><exe><executable>,How can I make an EXE file from a Python program?,189203,1646326
49146,49155,7,"<p>I've used several modules to make EXEs for Python, but I'm not sure if I'm doing it right.</p>  <p>How should I go about this, and why?  Please base your answers on personal experience, and provide references where necessary.</p> ",2013-04-16 22:02:10.147,3,NULL,2008-09-08 03:59:57.937,41,2017-09-05 18:18:02.900,2014-06-23 13:55:04.493,user3413108,0,4491,0,1,89,<python><exe><executable>,How can I make an EXE file from a Python program?,189203,12059509
50902,3749680,6,"<blockquote>   <p><strong>Possible Duplicate:</strong><br>   <a href=""https://stackoverflow.com/questions/51054/batch-file-to-delete-files-older-than-n-days"">Batch file to delete files older than N days</a>  </p> </blockquote>    <p>I want to run a scheduled windows task that deletes all files from a directory that are older than 2 weeks.</p>  <p>The reason is that these are IIS and Tomcat logs that fill up my server, but I want to keep the most recent logs in case I need to investigate a problem.</p>  <p>Does any one know an easy way to do this?</p>  <p>Cheers</p>  <p>Nige</p> ",2012-03-17 10:38:36.407,1,NULL,2008-09-08 23:00:27.430,2,2012-03-17 04:37:50.793,2017-05-23 12:18:33.227,JasonBunting,-1,2375,0,1,5,<windows><file><maintenance>,How do I delete old files from a directory while keeping the most recent ones on Windows,20789,51054
51462,0,14,"<blockquote>   <p><strong>Possible Duplicate:</strong><br>   <a href=""https://stackoverflow.com/questions/158706/how-to-properly-clean-up-excel-interop-objects-in-c"">How to properly clean up Excel interop objects in C#</a>  </p> </blockquote>    <p>Suppose a ASP.NET web application generates automated Excel Reports on the server. How do we kill a server-side Excel.EXE once the processing is over. I am raising this purposely, because I believe that the Garbage Collecter does not clean the Excel executable even after the Excel file is closed.</p>  <p>Any pointers would be helpful?</p> ",2011-09-24 23:57:49.623,1,NULL,2008-09-09 09:31:41.157,3,2010-10-14 22:24:27.053,2017-05-23 12:31:34.140,NULL,-1,4021,0,1,11,<asp.net><excel>,Killing Excel.EXE on server,10329,158706
