,Id,AcceptedAnswerId,AnswerCount,Body,ClosedDate,CommentCount,CommunityOwnedDate,CreationDate,FavoriteCount,LastActivityDate,LastEditDate,LastEditorDisplayName,LastEditorUserId,OwnerUserId,ParentId,PostTypeId,Score,Tags,Title,ViewCount,Topic
0,4,7,13,"<p>I want to use a track-bar to change a form's opacity.</p>

<p>This is my code:</p>

<pre><code>decimal trans = trackBar1.Value / 5000;
this.Opacity = trans;
</code></pre>

<p>When I build the application, it gives the following error:</p>

<blockquote>
  <p>Cannot implicitly convert type <code>'decimal'</code> to <code>'double'</code>.</p>
</blockquote>

<p>I tried using <code>trans</code> and <code>double</code> but then the control doesn't work. This code worked fine in a past VB.NET project.</p>
",,1,42:47.2,42:52.7,41,55:27.2,55:27.2,Rich B,6786713,8,0,1,573,<c#><floating-point><type-conversion><double><decimal>,Convert Decimal to Double?,37080,0
1,6,31,5,"<p>I have an absolutely positioned <code>div</code> containing several children, one of which is a relatively positioned <code>div</code>. When I use a <strong>percentage-based width</strong> on the child <code>div</code>, it collapses to '0' width on <a href=""http://en.wikipedia.org/wiki/Internet_Explorer_7"" rel=""noreferrer"">Internet&nbsp;Explorer&nbsp;7</a>, but not on Firefox or Safari.</p>

<p>If I use <strong>pixel width</strong>, it works. If the parent is relatively positioned, the percentage width on the child works.</p>

<ol>
<li>Is there something I'm missing here?</li>
<li>Is there an easy fix for this besides the <em>pixel-based width</em> on the
child?</li>
<li>Is there an area of the CSS specification that covers this?</li>
</ol>
",,0,,08:08.6,10,10:52.2,05:48.5,Rich B,63550,9,0,1,256,<html><css><css3><internet-explorer-7>,Percentage width child element in absolutely positioned parent on Internet Explorer 7,16306,0
2,9,1404,64,"<p>Given a <code>DateTime</code> representing a person's birthday, how do I calculate their age in years?  </p>
",,7,40:43.1,40:59.7,399,57:14.1,48:14.5,Rich B,3956566,1,0,1,1743,<c#><.net><datetime>,How do I calculate someone's age in C#?,480476,0
3,11,1248,35,"<p>Given a specific <code>DateTime</code> value, how do I display relative time, like:</p>

<ul>
<li>2 hours ago</li>
<li>3 days ago</li>
<li>a month ago</li>
</ul>
",,3,15:59.8,55:38.0,529,00:56.6,51:19.8,user2370523,6479704,1,0,1,1348,<c#><datetime><time><datediff><relative-time-span>,Calculate relative time in C#,136033,0
4,13,0,25,"<p>Is there any standard way for a Web Server to be able to determine a user's timezone within a web page? </p>

<p>Perhaps from an HTTP header or part of the user-agent string?</p>
",,6,,42:38.9,137,56:46.1,55:48.9,Rich B,5321363,9,0,1,539,<javascript><html><browser><timezone><timezoneoffset>,Determine a User's Timezone,157009,0
5,14,0,10,"<p>What is the difference between <a href=""http://msdn.microsoft.com/en-us/library/9a6a2sxy.aspx"" rel=""noreferrer""><code>Math.Floor()</code></a> and <a href=""http://msdn.microsoft.com/en-us/library/system.math.truncate.aspx"" rel=""noreferrer""><code>Math.Truncate()</code></a> in .NET?</p>
",,3,,59:11.2,53,14:23.0,42:17.8,Rich B,6495084,11,0,1,373,<.net><math>,Difference between Math.Floor() and Math.Truncate(),108769,0
6,16,12446,6,"<p>How do you expose a LINQ query as an ASMX web service? Usually, from the business tier, I can return a typed <code>DataSet</code> or <code>DataTable</code> which can be serialized for transport over ASMX.</p>

<p>How can I do the same for a LINQ query? Is there a way to populate a typed <code>DataSet</code> or <code>DataTable</code> via a LINQ query?</p>

<pre><code>public static MyDataTable CallMySproc()
{
    string conn = ""..."";

    MyDatabaseDataContext db = new MyDatabaseDataContext(conn);
    MyDataTable dt = new MyDataTable();

    // execute a sproc via LINQ
    var query = from dr
                in db.MySproc().AsEnumerable
                select dr;

    // copy LINQ query resultset into a DataTable -this does not work !    
    dt = query.CopyToDataTable();

    return dt;
}
</code></pre>

<p>How can I get the result set of a LINQ query into a <code>DataSet</code> or <code>DataTable</code>? Alternatively, is the LINQ query serializeable so that I can expose it as an ASMX web service?</p>
",,0,,59:33.6,13,55:31.6,01:28.0,Chris Fournier,2571493,2,0,1,114,<c#><linq><web-services><.net-3.5>,Filling a DataSet or DataTable from a LINQ query result set,79087,0
7,17,26,10,"<p>How do I store binary data in <a href=""http://en.wikipedia.org/wiki/MySQL"" rel=""noreferrer"">MySQL</a>?</p>
",,3,,09:56.0,19,06:35.0,29:17.2,,546051,2,0,1,169,<mysql><database><binary-data><data-storage>,Binary Data in MySQL,65443,0
8,19,531,23,"<p>I'm looking for the fastest way to obtain the value of π, as a personal challenge. More specifically, I'm using ways that don't involve using <code>#define</code> constants like <code>M_PI</code>, or hard-coding the number in.</p>

<p>The program below tests the various ways I know of. The inline assembly version is, in theory, the fastest option, though clearly not portable. I've included it as a baseline to compare against the other versions. In my tests, with built-ins, the <code>4 * atan(1)</code> version is fastest on GCC 4.2, because it auto-folds the <code>atan(1)</code> into a constant. With <code>-fno-builtin</code> specified, the <code>atan2(0, -1)</code> version is fastest.</p>

<p>Here's the main testing program (<code>pitimes.c</code>):</p>

<pre class=""lang-c prettyprint-override""><code>#include &lt;math.h&gt;
#include &lt;stdio.h&gt;
#include &lt;time.h&gt;

#define ITERS 10000000
#define TESTWITH(x) {                                                       \
    diff = 0.0;                                                             \
    time1 = clock();                                                        \
    for (i = 0; i &lt; ITERS; ++i)                                             \
        diff += (x) - M_PI;                                                 \
    time2 = clock();                                                        \
    printf(""%s\t=&gt; %e, time =&gt; %f\n"", #x, diff, diffclock(time2, time1));   \
}

static inline double
diffclock(clock_t time1, clock_t time0)
{
    return (double) (time1 - time0) / CLOCKS_PER_SEC;
}

int
main()
{
    int i;
    clock_t time1, time2;
    double diff;

    /* Warmup. The atan2 case catches GCC's atan folding (which would
     * optimise the ``4 * atan(1) - M_PI'' to a no-op), if -fno-builtin
     * is not used. */
    TESTWITH(4 * atan(1))
    TESTWITH(4 * atan2(1, 1))

#if defined(__GNUC__) &amp;&amp; (defined(__i386__) || defined(__amd64__))
    extern double fldpi();
    TESTWITH(fldpi())
#endif

    /* Actual tests start here. */
    TESTWITH(atan2(0, -1))
    TESTWITH(acos(-1))
    TESTWITH(2 * asin(1))
    TESTWITH(4 * atan2(1, 1))
    TESTWITH(4 * atan(1))

    return 0;
}
</code></pre>

<p>And the inline assembly stuff (<code>fldpi.c</code>) that will only work for x86 and x64 systems:</p>

<pre class=""lang-c prettyprint-override""><code>double
fldpi()
{
    double pi;
    asm(""fldpi"" : ""=t"" (pi));
    return pi;
}
</code></pre>

<p>And a build script that builds all the configurations I'm testing (<code>build.sh</code>):</p>

<pre><code>#!/bin/sh
gcc -O3 -Wall -c           -m32 -o fldpi-32.o fldpi.c
gcc -O3 -Wall -c           -m64 -o fldpi-64.o fldpi.c

gcc -O3 -Wall -ffast-math  -m32 -o pitimes1-32 pitimes.c fldpi-32.o
gcc -O3 -Wall              -m32 -o pitimes2-32 pitimes.c fldpi-32.o -lm
gcc -O3 -Wall -fno-builtin -m32 -o pitimes3-32 pitimes.c fldpi-32.o -lm
gcc -O3 -Wall -ffast-math  -m64 -o pitimes1-64 pitimes.c fldpi-64.o -lm
gcc -O3 -Wall              -m64 -o pitimes2-64 pitimes.c fldpi-64.o -lm
gcc -O3 -Wall -fno-builtin -m64 -o pitimes3-64 pitimes.c fldpi-64.o -lm
</code></pre>

<p>Apart from testing between various compiler flags (I've compared 32-bit against 64-bit too, because the optimisations are different), I've also tried switching the order of the tests around. But still, the <code>atan2(0, -1)</code> version still comes out on top every time.</p>
",,16,,21:22.3,77,07:01.9,45:05.9,Chris Jester-Young,13,13,0,1,284,<performance><algorithm><language-agnostic><unix><pi>,What is the fastest way to get the value of π?,42501,0
9,24,49,6,"<p>If I have a <code>trigger</code> <code>before the update</code> on a table, how can I throw an error that prevents the update on that table?</p>
",,0,,12:19.3,21,05:59.2,26:05.1,Jim Anderson,5195227,22,0,1,145,<mysql><database><triggers>,Throw an error in a MySQL trigger,62035,0
